,.id,synsetOffset,lexFilenum,lexFileName,pos,posName,wCnt,words,pCnt,pointers,frames,gloss
32,verb,00003316,29,verbs of grooming, dressing and bodily care,v,Verb,1,aspirate 0,3,@ 00005041 v 0000 + 00836788 n 0103 + 02748491 n 0101 ,01 + 08 00,suck in (air)  
33,verb,00003431,29,verbs of grooming, dressing and bodily care,v,Verb,4,burp 0 bubble 0 belch 0 eruct 0,5,@ 00105333 v 0000 + 00117578 n 0405 + 00117578 n 0301 + 09229709 n 0201 + 00117578 n 0103 ,01 + 02 00,expel gas from the stomach; "In China it is polite to burp at the table"  
34,verb,00003662,29,verbs of grooming, dressing and bodily care,v,Verb,1,force_out 0,1,@ 00105333 v 0000 ,02 + 08 00 + 11 00,emit or cause to move with force of effort; "force out the air"; "force out the splinter"  
35,verb,00003826,29,verbs of grooming, dressing and bodily care,v,Verb,2,hiccup 0 hiccough 0,3,@ 00001740 v 0000 + 14359459 n 0202 + 14359459 n 0101 ,01 + 02 00,breathe spasmodically, and make a sound; "When you have to hiccup, drink a glass of cold water"  
36,verb,00004032,29,verbs of grooming, dressing and bodily care,v,Verb,2,sigh 0 suspire 4,4,@ 00001740 v 0000 + 07129602 n 0202 + 07393756 n 0101 + 07129602 n 0101 ,01 + 02 00,heave or utter a sigh; breathe deeply and heavily; "She sighed sadly"  
37,verb,00004227,29,verbs of grooming, dressing and bodily care,v,Verb,3,exhale 0 expire 0 breathe_out 0,8,@ 00001740 v 0000 + 03110610 a 0201 + 00835267 n 0202 + 14842091 n 0102 + 00835267 n 0101 ! 00005041 v 0101 ~ 00006523 v 0000 ~ 00007012 v 0000 ,02 + 02 00 + 08 00,expel air; "Exhale when you lift the weight"  
38,verb,00004492,29,verbs of grooming, dressing and bodily care,v,Verb,1,hold 4,1,@ 02422663 v 0000 ,01 + 08 00,keep from exhaling or expelling; "hold your breath"  
39,verb,00004605,29,verbs of grooming, dressing and bodily care,v,Verb,3,exhale 1 give_forth 0 emanate 0,4,@ 00105333 v 0000 + 15109745 n 0301 + 01253060 n 0302 + 14842091 n 0102 ,02 + 08 00 + 11 00,give out (breath or an odor); "The chimney exhales a thick smoke"  
40,verb,00004819,29,verbs of grooming, dressing and bodily care,v,Verb,1,sneeze 0,5,* 00004227 v 0000 @ 00010241 v 0000 + 10616578 n 0101 + 14314850 n 0102 + 14314850 n 0101 ,01 + 02 00,exhale spasmodically, as when an irritant entered one's nose; "Pepper makes me sneeze"  
41,verb,00005041,29,verbs of grooming, dressing and bodily care,v,Verb,3,inhale 0 inspire 0 breathe_in 0,14,@ 00001740 v 0000 + 03110485 a 0201 + 00836788 n 0202 + 02749365 a 0101 + 14919156 n 0101 + 00836788 n 0101 + 04080833 n 0102 ! 00004227 v 0101 ~ 00003316 v 0000 ~ 00007549 v 0000 ~ 00101779 v 0000 ~ 00109263 v 0000 ~ 01199009 v 0000 ~ 01200245 v 0000 ,02 + 02 00 + 08 00,draw in (air); "Inhale deeply"; "inhale the fresh mountain air"; "The patient has trouble inspiring"; "The lung cancer patient cannot inspire air very well"  
42,verb,00005526,29,verbs of grooming, dressing and bodily care,v,Verb,4,pant 0 puff 0 gasp 0 heave 1,7,@ 00007012 v 0000 + 00834135 n 0402 + 00837098 n 0301 + 00835501 n 0202 + 00834460 n 0201 + 00837098 n 0102 + 00834135 n 0101 ,01 + 02 00,breathe noisily, as when one is exhausted; "The runners reached the finish line, panting heavily"  
43,verb,00005815,29,verbs of grooming, dressing and bodily care,v,Verb,1,cough 0,8,@ 00006238 v 0000 + 14359174 n 0101 + 14359174 n 0102 ^ 00006238 v 0103 ^ 00006238 v 0102 ^ 02200341 v 0101 ~ 00006100 v 0000 ~ 00035089 v 0000 ,02 + 02 00 + 08 00,exhale abruptly, as when one has a chest cold or congestion; "The smoker coughs all day"  
44,verb,00006100,29,verbs of grooming, dressing and bodily care,v,Verb,2,hack 0 whoop 0,1,@ 00005815 v 0000 ,01 + 02 00,cough spasmodically; "The patient with emphysema is hacking all day"  
45,verb,00006238,29,verbs of grooming, dressing and bodily care,v,Verb,5,expectorate 0 cough_up 0 cough_out 0 spit_up 0 spit_out 1,7,@ 00104868 v 0000 + 13477934 n 0101 + 00118552 n 0103 + 10636874 n 0102 ~ 00005815 v 0000 ~ 00101956 v 0000 ~ 00102303 v 0000 ,01 + 02 00,discharge (phlegm or sputum) from the lungs and out of the mouth  
46,verb,00006523,29,verbs of grooming, dressing and bodily care,v,Verb,1,snort 0,3,@ 00004227 v 0000 + 10617501 n 0101 + 00834460 n 0103 ,01 + 02 00,make a snorting sound by exhaling hard; "The critic snorted contemptuously"  
47,verb,00006697,29,verbs of grooming, dressing and bodily care,v,Verb,1,wheeze 0,2,@ 00001740 v 0000 + 00836407 n 0101 ,01 + 02 00,breathe with difficulty  
48,verb,00006802,29,verbs of grooming, dressing and bodily care,v,Verb,3,puff 1 huff 0 chuff 0,4,@ 00007012 v 0000 + 00834460 n 0202 + 00835501 n 0102 + 00834460 n 0101 ,01 + 02 00,blow hard and loudly; "he huffed and puffed as he made his way up the mountain"  
49,verb,00007012,29,verbs of grooming, dressing and bodily care,v,Verb,1,blow 0,5,@ 00004227 v 0000 + 00835501 n 0101 ~ 00005526 v 0000 ~ 00006802 v 0000 ~ 00007193 v 0000 ,01 + 02 00,exhale hard; "blow on the soup to cool it down"  
50,verb,00007193,29,verbs of grooming, dressing and bodily care,v,Verb,1,insufflate 0,3,@ 00007012 v 0000 + 00835830 n 0101 $ 00079629 v 0000 ,01 + 08 00,blow or breathe hard on or into  
51,verb,00005815,29,verbs of grooming, dressing and bodily care,v,Verb,1,cough 0,8,@ 00006238 v 0000 + 14359174 n 0101 + 14359174 n 0102 ^ 00006238 v 0103 ^ 00006238 v 0102 ^ 02200341 v 0101 ~ 00006100 v 0000 ~ 00035089 v 0000,02 + 02 00 + 08 00  02 + 02 00 + 08 00,exhale abruptly, as when one has a chest cold or congestion; "The smoker coughs all day"
