"",".id","synsetId","name","wordNum"
"161","adj",400007516,"spongy",1
"162","adj",400007516,"spongelike",2
"163","adj",400007697,"thirsty",1
"164","adj",400007990,"repellent",1
"165","adj",400007990,"resistant",2
"166","adj",400008443,"chemisorptive",1
"167","adj",400008443,"chemosorptive",2
"168","adj",400009346,"abstinent",1
"169","adj",400009346,"abstentious",2
"170","adj",400009618,"ascetic",1
"171","adj",400009618,"ascetical",2
"172","adj",400009618,"austere",3
"173","adj",400009618,"spartan",4
"174","noun",100001740,"entity",1
"175","noun",100001930,"physical entity",1
"176","noun",100002137,"abstraction",1
"177","noun",100002137,"abstract entity",2
"178","noun",100002452,"thing",1
"179","noun",100002684,"object",1
"180","noun",100002684,"physical object",2
"181","noun",100003553,"whole",1
"182","noun",100003553,"unit",2
"183","noun",100003993,"congener",1
"184","noun",100004258,"living thing",1
"185","noun",100004258,"animate thing",2
"186","noun",100004475,"organism",1
"187","noun",100004475,"being",2
"188","noun",100005787,"benthos",1
"189","noun",100005930,"dwarf",1
"190","noun",100006024,"heterotroph",1
"191","noun",100006150,"parent",1
"192","noun",100006269,"life",1
"193","noun",100006400,"biont",1
"194","noun",100006484,"cell",1
"195","noun",100007347,"causal agent",1
"196","noun",100007347,"cause",2
"197","noun",100007347,"causal agency",3
"198","noun",100007846,"person",1
"199","noun",100007846,"individual",2
"200","noun",100007846,"someone",3
"201","noun",100007846,"somebody",4
"202","noun",100007846,"mortal",5
"203","noun",100007846,"soul",6
"204","noun",100015388,"animal",1
"205","noun",100015388,"animate being",2
"206","noun",100015388,"beast",3
"207","noun",100015388,"brute",4
"208","noun",100015388,"creature",5
"209","noun",100015388,"fauna",6
"210","noun",100017222,"plant",1
"211","noun",100017222,"flora",2
"212","noun",100017222,"plant life",3
"213","noun",100019046,"native",1
"214","noun",100019128,"natural object",1
"215","noun",100019613,"substance",1
"216","noun",100020090,"substance",1
"217","noun",100020827,"matter",1
"218","noun",107993776,"wildlife",1
"219","noun",100021939,"artifact",1
"220","noun",100021939,"artefact",2
